"location_name","location_code","hale.1990","hale.1995","hale.2000","hale.2005","hale.2010","hale.2015","le.1990","le.1995","le.2000","le.2005","le.2010","le.2015"
"Laos","LAO",51.5,53.6,56.1,60.1,64.1,67.1,45.339056,47.187122,49.306058,52.772602,56.39418,58.954671
"Latvia","LVA",69.6,66.5,70.5,71.1,73.9,75.4,60.983809,58.598887,61.924349,62.581161,65.001361,66.240623
"Lebanon","LBN",69.3,73.4,75.9,77.3,78.1,78.9,57.924067,61.782922,64.020762,65.596518,66.657842,67.365132
"Lesotho","LSO",60.5,58.7,50.7,43.1,46.4,47.1,52.932184,51.200196,44.168573,37.72245,40.443386,41.194285
"Liberia","LBR",48.6,50.9,55.8,58.4,60.8,63.2,40.964639,42.768065,47.159707,49.418182,51.825936,54.196141
"Libya","LBY",73.4,74.6,74.8,75.4,75.9,74.1,63.86719,64.86326,65.067386,65.489013,65.951997,64.225996
"Lithuania","LTU",71.5,69,72.1,71.7,73.9,75.2,62.545967,60.692465,63.123547,62.949935,64.784293,65.91983
"Luxembourg","LUX",75.2,76.9,78.5,80,81.3,82.2,65.423688,66.826356,68.190799,69.459252,70.645976,71.346676
"Macedonia","MKD",71.7,71.8,72.9,73.8,75.2,76.5,63.325345,63.538616,64.598331,65.437788,66.572717,67.585251
"Madagascar","MDG",56,57.2,59.1,61.2,62.4,63.5,48.096892,49.148965,50.89898,52.802668,54.143423,55.407387
"Malawi","MWI",48.8,46.9,45.4,48.5,55.4,60.5,42.250342,40.591268,39.381223,42.085151,48.122785,52.997481
"Malaysia","MYS",71.8,72.4,73.3,74.3,74.4,75.3,63.301321,63.811647,64.546082,65.374729,65.604259,66.280059
"Maldives","MDV",66,69.3,73,76.9,79.2,80,56.987022,59.929939,63.143952,66.739471,69.037459,69.866278
"Mali","MLI",50,51.4,53.5,56.9,59.2,60.2,43.06002,44.317743,46.068347,48.96016,51.28167,52.426494
"Malta","MLT",77.1,78.4,79.2,80.7,81.3,82.1,67.421029,68.502621,69.12768,70.41393,71.000575,71.600634
"Marshall Islands","MHL",64.6,65.2,64.7,64.7,65.8,66.9,56.029335,56.50157,55.944595,55.993988,56.904847,57.817731
"Mauritania","MRT",59.5,61.2,63.8,66.3,68.6,69.7,51.114114,52.717959,54.906009,57.06317,59.154046,60.262196
"Mauritius","MUS",69.3,70.3,71.4,72.4,73.4,74.5,61.614374,62.446943,63.363213,64.038638,64.750439,65.631003
"Mexico","MEX",71.5,73,74.6,75.1,75.4,75.9,63.00287,64.436769,65.83238,66.358177,66.589423,66.936904
"Moldova","MDA",68.2,65.4,68.6,69.5,70.5,73.9,59.825169,57.703914,60.360477,61.42022,62.364045,65.08982
"Mongolia","MNG",62.3,61.7,62.5,63.6,65.2,67.1,55.105472,54.81044,55.536028,56.63857,57.961775,59.543592
"Montenegro","MNE",74.6,73.5,73.3,75,76.5,77.2,65.651771,64.85072,64.637469,66.132255,67.483242,67.992422
"Morocco","MAR",67.7,69.5,71.5,72.7,73.7,74.6,58.29921,59.841466,61.489233,62.554842,63.417848,64.117385
"Mozambique","MOZ",51.5,52.7,52.3,52.9,54.4,57.1,44.10656,45.194596,44.915705,45.312902,46.682012,49.561371
"Myanmar","MMR",57.6,59,60.8,63.4,66,68,50.672494,52.007234,53.535518,55.713246,58.12086,59.878747
"Namibia","NAM",61.7,60.5,54,53.1,61.4,64.2,53.77045,52.607615,47.152321,46.255225,53.192198,55.487467
"Nepal","NPL",58.4,61.7,65.2,67.4,69,69.7,50.893441,53.738504,56.689293,58.577085,60.190224,60.565282
"Netherlands","NLD",77,77.6,78.1,79.6,80.8,81.3,67.38255,67.8051,68.21638,69.439773,70.513981,70.935681
"New Zealand","NZL",75.6,77,78.4,79.8,80.8,81.4,66.198641,67.357355,68.389175,69.484212,70.32327,70.884155
"Nicaragua","NIC",73.3,74.4,76,76.6,77.2,78,64.00204,65.037295,66.494408,67.172968,67.836623,68.426994
"Niger","NER",47.2,49.5,52.4,55.9,59.2,61,41.06955,43.126258,45.659106,48.796128,51.778633,53.525962
"Nigeria","NGA",54.1,55,55.2,56.8,61.2,64.6,46.3458,47.078605,47.287827,48.644656,52.386741,55.448298
"North Korea","PRK",68.9,58.6,59.1,70.2,71.2,72.1,61.390744,52.576627,52.928054,62.636753,63.559733,64.296996
"Northern Mariana Islands","MNP",72.3,74.2,75.5,75.9,76.4,76.2,63.567655,65.176895,66.246681,66.628594,67.03443,66.865644
"Norway","NOR",76.6,77.9,78.6,80.2,81.1,82,67.020115,68.069381,68.503684,69.785864,70.580741,71.514231
"Oman","OMN",72.1,73.9,75.2,76,76.1,77.2,62.052287,63.677772,64.810468,65.390121,65.449103,66.3588
"Pakistan","PAK",62.1,61.8,62.3,62.2,64.5,65.9,53.825546,53.710772,54.169865,53.87671,55.958106,57.111111
"Palestine","PSE",71.8,73.7,74.4,74.6,74.3,74.6,61.889055,63.641803,64.170566,64.610193,64.525066,64.842313
"Panama","PAN",74.9,75.3,76.5,77.2,77.3,78.2,65.935707,66.217427,67.105536,67.623309,67.748563,68.362148
"Papua New Guinea","PNG",56,56.9,57.5,57.9,59.1,60.9,48.644434,49.39191,49.887391,50.164459,51.30444,52.844863
"Paraguay","PRY",74.2,74.1,74.2,74,74,74.4,64.881714,64.807489,64.784599,64.631482,64.633679,64.912789
"Peru","PER",68.7,71.1,74.6,77.2,78.4,79.5,60.04744,62.264346,65.258279,67.529896,68.643486,69.579893
"Philippines","PHL",67.6,68.8,69.1,69.1,70.1,71,58.544083,59.920896,60.230256,60.261656,61.22209,62.052559
"Poland","POL",70.9,71.9,73.8,75.1,76.2,77.6,62.594213,63.499037,65.053853,66.127122,67.169762,68.292508
"Portugal","PRT",74.2,75.5,76.8,78.4,79.9,80.8,64.83427,65.899346,67.051432,68.50599,69.783851,70.556122
"Puerto Rico","PRI",73.8,73.3,75.6,76.6,77.1,78.5,64.540166,64.105021,65.897568,66.719787,67.212179,68.257157
"Qatar","QAT",74.5,74.4,74.7,76.3,79.2,79.7,64.422227,64.365399,64.634037,66.008196,68.401922,68.832282
"Romania","ROU",70,69.4,71.1,72.4,73.7,75.2,61.672833,61.271642,62.702812,63.933744,65.124268,66.38233
"Russia","RUS",69.2,64.4,65.1,65.1,68.9,71,60.247424,56.384666,56.92972,57.06478,60.225886,61.921889
"Rwanda","RWA",50.5,43.8,49.2,59.6,65.1,65.9,44.511908,38.099451,42.720777,51.533169,56.692092,57.611049
"Saint Lucia","LCA",70.2,71.1,72,73.1,74.5,74.8,60.971618,62.057254,62.939591,63.887821,65.055781,65.339178
"Saint Vincent and the Grenadines","VCT",69.7,69.6,69.1,70.4,71.1,71.2,61.006575,60.867483,60.470441,61.628469,62.171668,62.341014
"Samoa","WSM",69.1,70,70.8,71.8,72.6,73.2,60.790187,61.501267,62.114778,62.914346,63.547128,64.008166
"Sao Tome and Principe","STP",63.4,64.1,64.6,65.5,66.9,68,55.260142,55.837298,56.378219,57.135163,58.409955,59.380063
"Saudi Arabia","SAU",73.9,75.5,76.8,77.8,78.7,79.5,64.393817,65.749146,66.891215,67.804107,68.680625,69.359445
"Senegal","SEN",57.8,58.4,59.7,62.2,64.2,65.3,50.460574,51.014793,52.140764,54.325917,56.249552,57.492149
"Serbia","SRB",72.5,72,72.1,73.2,74.8,76.2,63.963207,63.593753,63.760463,64.724356,66.0554,67.081572
"Seychelles","SYC",69.1,69.8,70.9,72,73.1,74.1,61.391956,61.963298,62.748511,63.624278,64.631799,65.407817
"Sierra Leone","SLE",51.6,50.9,51.5,52.3,55,57.1,44.366628,43.593813,44.217862,45.119895,47.897487,50.114402
"Singapore","SGP",74.9,76.4,78.3,80,81.3,82,67.35098,68.726455,70.352853,71.991398,73.171248,73.705418
"Slovakia","SVK",71,72.4,73.3,74.3,75.7,77.6,62.690991,63.91941,64.6237,65.451765,66.6679,68.166827
"Slovenia","SVN",73.7,74.6,76.1,77.6,79.5,80.9,64.76889,65.613052,66.805075,68.095807,69.796997,70.981056
"Solomon Islands","SLB",60.1,61.1,61.7,61.8,62.7,64,53.202252,54.12049,54.608749,54.685144,55.508315,56.51258
"Somalia","SOM",48.8,49.9,50.7,52.1,51.6,54.2,43.173324,44.160044,44.90792,46.067332,45.623349,47.837113
"South Africa","ZAF",62,62.7,56.4,52.7,54.9,61.3,53.949826,54.36991,49.024998,45.681402,47.41246,52.863251
"South Korea","KOR",71.8,74,76.3,78.7,80.4,81,63.841205,65.659047,67.604235,69.724492,71.203819,71.750196
"South Sudan","SSD",50.9,52.7,54.4,55.3,56,56.1,44.014933,45.504002,47.152613,48.151781,49.012293,49.188176
"Spain","ESP",76.9,77.9,79.2,80.3,81.8,82.6,67.555059,68.425185,69.510358,70.553737,71.912868,72.632702
"Sri Lanka","LKA",70.5,71.7,72.4,73.9,75,77.6,61.531087,62.899465,63.657216,64.938087,65.845461,68.156301
"Sudan","SDN",58.9,60.5,62.4,64.6,66.1,67.5,50.745542,52.133944,53.605713,55.539708,56.86151,58.211468
"Suriname","SUR",69.7,70.1,69.7,69.9,70.7,72,61.039319,61.349286,61.075221,61.251428,62.039986,63.132721
"Swaziland","SWZ",60.7,59.1,48.8,42.5,46.4,51.8,52.884344,51.120218,42.266603,36.845261,40.080801,44.724828
"Sweden","SWE",77.6,78.9,79.7,80.6,81.6,82.1,68.406971,69.357623,69.932597,70.642088,71.50533,71.895334
"Switzerland","CHE",77.5,78.5,79.8,81.3,82.3,83,67.497184,68.442198,69.508204,70.768475,71.737216,72.408091
"Syria","SYR",70.5,72.7,74.4,75.5,76.5,68.2,61.720866,63.704854,65.181699,66.187293,66.986918,58.572225
"Taiwan","TWN",73.8,74.6,76,77.4,79,79.5,65.432223,66.412487,67.528567,68.628394,69.932883,70.288512
"Tajikistan","TJK",65.3,64.1,65.8,68,70.1,72.4,57.579038,56.611995,58.173905,60.172628,62.030475,63.838072
"Tanzania","TZA",55.2,53.9,54.3,57.1,61.4,64.1,47.801144,46.63344,47.072,49.527729,53.374496,56.165305
"Thailand","THA",71,70.6,70.7,73.1,74.2,74.7,62.302376,61.965626,62.223806,64.293396,65.340489,65.858951
"The Bahamas","BHS",68.5,69.7,70.2,71.7,72.7,73.7,60.010062,60.924315,61.371939,62.662628,63.523418,64.382263
"The Gambia","GMB",61.3,62.6,63.6,64.9,66.5,68.1,53.726485,54.752252,55.681507,56.803155,58.206221,59.630987
"Timor-Leste","TLS",58.5,61.8,60.7,67.5,70.8,72.4,51.431943,54.310354,53.094473,59.22095,61.993106,63.516189
"Togo","TGO",57.8,57.6,56.7,56.8,58.7,61.5,50.381385,50.235896,49.482803,49.618097,51.411206,54.088533
"Tonga","TON",69.1,69.6,69.6,70,70.7,71.5,60.217615,60.907547,60.71113,61.145291,61.682614,62.428307
"Trinidad and Tobago","TTO",69.1,69.3,69.5,71.1,71.8,72.4,60.624587,60.794381,60.887824,62.124957,62.646321,63.126704
"Tunisia","TUN",71.8,72.9,75,76.2,77.1,77.6,62.323486,63.385443,65.115493,66.197081,66.982347,67.365016
"Turkey","TUR",68.1,70,73.8,76.2,78.8,79.2,58.700058,60.451042,63.72069,66.030002,68.195197,68.618872
"Turkmenistan","TKM",63.9,63.3,63.7,65.8,68.1,70,56.604026,56.138596,56.565937,58.355649,60.374454,61.969962
"Uganda","UGA",50.7,48.3,49.1,53.5,57.8,61.3,43.821367,41.925531,42.742078,46.528825,50.454773,53.7519
"Ukraine","UKR",70,66.5,67.3,67.1,70.5,71.5,61.4266,58.585314,59.309877,59.306511,62.197403,62.89979
"United Arab Emirates","ARE",70.6,71.9,73.3,75.2,75.6,75.4,60.994091,62.170803,63.446501,65.090442,65.61138,65.524301
"United Kingdom","GBR",75.7,76.7,77.8,79,80.2,81,66.654606,67.442734,68.296172,69.285877,70.385614,70.995384
"United States","USA",75.4,75.9,76.9,77.6,78.8,79.1,65.456681,65.878073,66.650525,67.097923,67.908081,68.160154
"Uruguay","URY",73,73.4,74.6,75.5,76.2,76.8,64.841143,65.132904,66.148906,66.95347,67.578225,68.005546
"Uzbekistan","UZB",67.8,66.6,67.6,68.5,70.2,71.8,59.803827,58.875025,59.755098,60.654794,62.160233,63.439278
"Vanuatu","VUT",61.9,62.3,62.5,62.7,63.9,64.9,55.069816,55.438784,55.544483,55.759015,56.643434,57.465556
"Venezuela","VEN",72.5,72.7,73.8,74.6,74.9,74.8,63.731267,63.435988,63.94653,64.590058,64.835307,64.771976
"Vietnam","VNM",69.3,70.6,72,73.3,74.5,75.4,60.883384,62.025306,63.358758,64.578735,65.948309,66.802444
"Virgin Islands, U.S.","VIR",73.1,73.4,74,74.4,74.3,74.4,64.097973,64.217517,64.695049,65.07351,65.034926,65.093197
"Yemen","YEM",58.5,60.3,62.4,64.6,66.6,66,51.206869,52.844037,54.651917,56.499213,58.235708,57.53314
"Zambia","ZMB",51.9,46.9,44.8,47.1,53.1,56.7,45.418031,41.07956,39.340689,41.355674,46.546244,49.812774
"Zimbabwe","ZWE",63,56,47.9,45.1,49.1,59.3,55.004902,48.751899,41.815934,39.457385,42.937541,51.677648
